row_index,operands,actual,pred_col,iter,pred,A1,A2,P1,P2,error_type
33,"1000,1415,1817,9999","1000,1415,1817,9999",pred_iter_200,200,"1000,1415,1815,9999",1415,1817,1415,1815,repeat_last_digit
43,"1000,1547,1648,9999","1000,1547,1648,9999",pred_iter_200,200,"1047,1548,1648,9999",1547,1648,1548,1648,repeat_last_digit
80,"1000,1855,1958,9999","1000,1855,1958,9999",pred_iter_200,200,"1000,1855,1955,9998",1855,1958,1855,1955,repeat_last_digit
93,"1000,1918,1711,9999","1000,1711,1918,9999",pred_iter_200,200,"1000,1711,1911,9999",1711,1918,1711,1911,repeat_last_digit
105,"1000,1999,1496,9999","1000,1496,1999,9999",pred_iter_200,200,"1000,1499,1999,9999",1496,1999,1499,1999,repeat_last_digit
146,"1000,2517,2618,9999","1000,2517,2618,9999",pred_iter_200,200,"2400,2518,2618,9999",2517,2618,2518,2618,repeat_last_digit
181,"1000,2759,2553,9999","1000,2553,2759,9999",pred_iter_200,200,"1000,2559,2759,9993",2553,2759,2559,2759,repeat_last_digit
203,"1000,2869,2466,9999","1000,2466,2869,9999",pred_iter_200,200,"2069,2466,2866,9999",2466,2869,2466,2866,repeat_last_digit
206,"1000,2879,2678,9999","1000,2678,2879,9999",pred_iter_200,200,"2000,2679,2879,9997",2678,2879,2679,2879,repeat_last_digit
265,"1000,3479,3073,9999","1000,3073,3479,9999",pred_iter_200,200,"1479,3079,3479,9993",3073,3479,3079,3479,repeat_last_digit
305,"1000,3778,3979,9999","1000,3778,3979,9999",pred_iter_200,200,"1000,3779,3979,9979",3778,3979,3779,3979,repeat_last_digit
340,"1000,3967,3866,9999","1000,3866,3967,9999",pred_iter_200,200,"1000,3866,3966,9999",3866,3967,3866,3966,repeat_last_digit
355,"1000,4203,4804,9999","1000,4203,4804,9999",pred_iter_200,200,"1003,4204,4804,9999",4203,4804,4204,4804,repeat_last_digit
380,"1000,4420,4526,9999","1000,4420,4526,9999",pred_iter_200,200,"1099,4420,4520,9999",4420,4526,4420,4520,repeat_last_digit
387,"1000,4500,4705,9999","1000,4500,4705,9999",pred_iter_200,200,"1000,4500,4700,9999",4500,4705,4500,4700,repeat_last_digit
405,"1000,4695,4999,9999","1000,4695,4999,9999",pred_iter_200,200,"1000,4699,4999,9995",4695,4999,4699,4999,repeat_last_digit
418,"1000,4749,4346,9999","1000,4346,4749,9999",pred_iter_200,200,"1006,4349,4749,9999",4346,4749,4349,4749,repeat_last_digit
424,"1000,4786,4684,9999","1000,4684,4786,9999",pred_iter_200,200,"1000,4684,4784,9999",4684,4786,4684,4784,repeat_last_digit
443,"1000,4869,4467,9999","1000,4467,4869,9999",pred_iter_200,200,"1000,4469,4869,9999",4467,4869,4469,4869,repeat_last_digit
457,"1000,4969,4866,9999","1000,4866,4969,9999",pred_iter_200,200,"1000,4869,4969,9996",4866,4969,4869,4969,repeat_last_digit
499,"1000,5501,5100,9999","1000,5100,5501,9999",pred_iter_200,200,"1001,5100,5500,9599",5100,5501,5100,5500,repeat_last_digit
515,"1000,5634,5532,9999","1000,5532,5634,9999",pred_iter_200,200,"1000,5532,5632,9999",5532,5634,5532,5632,repeat_last_digit
516,"1000,5640,5842,9999","1000,5640,5842,9999",pred_iter_200,200,"1040,5642,5842,9999",5640,5842,5642,5842,repeat_last_digit
522,"1000,5679,5575,9999","1000,5575,5679,9999",pred_iter_200,200,"1000,5579,5679,9995",5575,5679,5579,5679,repeat_last_digit
529,"1000,5727,5929,9999","1000,5727,5929,9999",pred_iter_200,200,"1000,5729,5929,9999",5727,5929,5729,5929,repeat_last_digit
546,"1000,5849,5748,9999","1000,5748,5849,9999",pred_iter_200,200,"1008,5749,5849,9999",5748,5849,5749,5849,repeat_last_digit
556,"1000,5949,5842,9999","1000,5842,5949,9999",pred_iter_200,200,"1000,5849,5949,9949",5842,5949,5849,5949,repeat_last_digit
598,"1000,6438,6332,9999","1000,6332,6438,9999",pred_iter_200,200,"1099,6332,6432,9999",6332,6438,6332,6432,repeat_last_digit
599,"1000,6441,6549,9999","1000,6441,6549,9999",pred_iter_200,200,"1000,6449,6549,9999",6441,6549,6449,6549,repeat_last_digit
608,"1000,6497,6799,9999","1000,6497,6799,9999",pred_iter_200,200,"1000,6499,6799,9999",6497,6799,6499,6799,repeat_last_digit
646,"1000,6787,6680,9999","1000,6680,6787,9999",pred_iter_200,200,"1000,6687,6787,9999",6680,6787,6687,6787,repeat_last_digit
650,"1000,6799,6197,9999","1000,6197,6799,9999",pred_iter_200,200,"1000,6199,6799,9999",6197,6799,6199,6799,repeat_last_digit
669,"1000,6919,6517,9999","1000,6517,6919,9999",pred_iter_200,200,"1000,6519,6919,9999",6517,6919,6519,6919,repeat_last_digit
