row_index,operands,actual,pred_col,iter,pred,A1,A2,P1,P2,error_type
16,"1000,1198,1299,9999","1000,1198,1299,9999",pred_iter_final,0,"1000,1199,1298,9999",1198,1299,1199,1298,swap_last_digit
70,"1000,1785,1680,9999","1000,1680,1785,9999",pred_iter_final,0,"1000,1685,1780,9999",1680,1785,1685,1780,swap_last_digit
139,"1000,2436,2330,9999","1000,2330,2436,9999",pred_iter_final,0,"1000,2336,2430,9999",2330,2436,2336,2430,swap_last_digit
155,"1000,2614,2510,9999","1000,2510,2614,9999",pred_iter_final,0,"1000,2514,2610,9999",2510,2614,2514,2610,swap_last_digit
175,"1000,2709,2600,9999","1000,2600,2709,9999",pred_iter_final,0,"1000,2609,2700,9999",2600,2709,2609,2700,swap_last_digit
180,"1000,2754,2550,9999","1000,2550,2754,9999",pred_iter_final,0,"1000,2554,2750,9999",2550,2754,2554,2750,swap_last_digit
182,"1000,2760,2866,9999","1000,2760,2866,9999",pred_iter_final,0,"1000,2766,2860,9999",2760,2866,2766,2860,swap_last_digit
239,"1000,3120,3227,9999","1000,3120,3227,9999",pred_iter_final,0,"1000,3127,3220,9999",3120,3227,3127,3220,swap_last_digit
247,"1000,3220,3325,9999","1000,3220,3325,9999",pred_iter_final,0,"1000,3225,3320,9999",3220,3325,3225,3320,swap_last_digit
299,"1000,3750,3858,9999","1000,3750,3858,9999",pred_iter_final,0,"1000,3758,3850,9999",3750,3858,3758,3850,swap_last_digit
345,"1000,4005,4109,9999","1000,4005,4109,9999",pred_iter_final,0,"1000,4009,4105,9999",4005,4109,4009,4105,swap_last_digit
375,"1000,4384,4283,9999","1000,4283,4384,9999",pred_iter_final,0,"1000,4284,4383,9999",4283,4384,4284,4383,swap_last_digit
378,"1000,4409,4008,9999","1000,4008,4409,9999",pred_iter_final,0,"1000,4009,4408,9999",4008,4409,4009,4408,swap_last_digit
387,"1000,4500,4705,9999","1000,4500,4705,9999",pred_iter_final,0,"1000,4505,4700,9999",4500,4705,4505,4700,swap_last_digit
400,"1000,4605,4200,9999","1000,4200,4605,9999",pred_iter_final,0,"1000,4205,4600,9999",4200,4605,4205,4600,swap_last_digit
427,"1000,4800,4909,9999","1000,4800,4909,9999",pred_iter_final,0,"1000,4809,4900,9999",4800,4909,4809,4900,swap_last_digit
501,"1000,5518,5719,9999","1000,5518,5719,9999",pred_iter_final,0,"1000,5519,5718,9999",5518,5719,5519,5718,swap_last_digit
542,"1000,5809,5408,9999","1000,5408,5809,9999",pred_iter_final,0,"1000,5409,5808,9999",5408,5809,5409,5808,swap_last_digit
677,"1000,6994,6890,9999","1000,6890,6994,9999",pred_iter_final,0,"1000,6894,6990,9999",6890,6994,6894,6990,swap_last_digit
696,"1000,7405,7809,9999","1000,7405,7809,9999",pred_iter_final,0,"1000,7409,7805,9999",7405,7809,7409,7805,swap_last_digit
741,"1000,7807,7600,9999","1000,7600,7807,9999",pred_iter_final,0,"1000,7607,7800,9999",7600,7807,7607,7800,swap_last_digit
812,"1000,8606,8500,9999","1000,8500,8606,9999",pred_iter_final,0,"1000,8506,8600,9999",8500,8606,8506,8600,swap_last_digit
842,"1000,8803,8500,9999","1000,8500,8803,9999",pred_iter_final,0,"1000,8503,8800,9999",8500,8803,8503,8800,swap_last_digit
843,"1000,8809,8501,9999","1000,8501,8809,9999",pred_iter_final,0,"1000,8509,8801,9999",8501,8809,8509,8801,swap_last_digit
858,"1000,8883,8780,9999","1000,8780,8883,9999",pred_iter_final,0,"1000,8783,8880,9999",8780,8883,8783,8880,swap_last_digit
863,"1000,8909,8401,9999","1000,8401,8909,9999",pred_iter_final,0,"1000,8409,8901,9999",8401,8909,8409,8901,swap_last_digit
892,"1000,9187,9080,9999","1000,9080,9187,9999",pred_iter_final,0,"1000,9087,9180,9999",9080,9187,9087,9180,swap_last_digit
897,"1000,9306,9408,9999","1000,9306,9408,9999",pred_iter_final,0,"1000,9308,9406,9999",9306,9408,9308,9406,swap_last_digit
898,"1000,9308,9909,9999","1000,9308,9909,9999",pred_iter_final,0,"1000,9309,9908,9999",9308,9909,9309,9908,swap_last_digit
