difference,first_phase
-100,3.33
-99,2.67
-98,3.33
-97,4.0
-96,4.33
-95,3.0
-94,2.67
-93,5.33
-92,3.67
-91,5.0
-90,5.67
-89,6.33
-88,5.67
-87,5.33
-86,9.33
-85,8.33
-84,10.33
-83,9.33
-82,9.67
-81,9.0
-80,12.67
-79,14.67
-78,8.33
-77,15.0
-76,19.33
-75,16.33
-74,18.0
-73,15.33
-72,21.0
-71,19.67
-70,24.33
-69,21.33
-68,24.33
-67,29.33
-66,27.67
-65,26.0
-64,33.0
-63,33.0
-62,25.67
-61,31.67
-60,39.33
-59,40.0
-58,42.33
-57,38.0
-56,53.67
-55,51.67
-54,49.0
-53,49.33
-52,59.33
-51,56.67
-50,52.33
-49,53.33
-48,55.0
-47,57.67
-46,62.33
-45,70.33
-44,66.33
-43,62.0
-42,76.0
-41,56.0
-40,61.33
-39,81.67
-38,73.33
-37,74.0
-36,67.33
-35,80.67
-34,74.33
-33,78.67
-32,84.33
-31,82.0
-30,87.67
-29,78.0
-28,81.0
-27,85.0
-26,87.0
-25,76.0
-24,84.67
-23,78.67
-22,92.0
-21,89.67
-20,88.67
-19,94.0
-18,87.67
-17,94.67
-16,82.33
-15,92.67
-14,91.0
-13,103.0
-12,90.33
-11,100.0
-10,94.0
-9,101.0
-8,95.33
-7,95.67
-6,94.0
-5,92.0
-4,92.33
-3,97.67
-2,97.67
-1,89.33
0,98.67
1,91.33
2,86.0
3,101.0
4,86.0
5,89.0
6,103.0
7,90.33
8,89.67
9,94.0
10,92.33
11,94.33
12,98.0
13,95.0
14,91.0
15,107.0
16,89.67
17,88.33
18,88.67
19,87.0
20,89.33
21,95.0
22,85.33
23,84.67
24,81.0
25,81.67
26,80.67
27,76.67
28,84.33
29,85.33
30,85.0
31,81.0
32,81.33
33,81.0
34,77.0
35,70.67
36,70.33
37,73.0
38,61.67
39,64.67
40,56.67
41,61.67
42,50.33
43,50.67
44,55.0
45,59.33
46,50.0
47,46.67
48,46.33
49,48.33
50,43.0
51,39.33
52,47.67
53,40.33
54,36.67
55,37.67
56,34.0
57,34.33
58,30.33
59,24.0
60,32.33
61,29.33
62,30.33
63,25.67
64,25.33
65,19.0
66,17.67
67,20.0
68,24.33
69,24.67
70,19.0
71,15.0
72,15.0
73,11.33
74,17.33
75,15.67
76,15.67
77,10.67
78,13.67
79,9.0
80,8.0
81,6.33
82,6.67
83,7.33
84,6.67
85,8.0
86,5.0
87,4.0
88,4.67
89,6.0
90,4.33
91,5.33
92,3.33
93,3.67
94,2.67
95,4.0
96,2.67
97,1.0
98,3.33
99,2.33
100,1.67
