difference,first_phase
-100,3.0
-99,3.0
-98,5.0
-97,6.0
-96,6.0
-95,3.0
-94,3.0
-93,6.0
-92,4.0
-91,4.0
-90,8.0
-89,10.0
-88,10.0
-87,8.0
-86,13.0
-85,11.0
-84,13.0
-83,15.0
-82,10.0
-81,14.0
-80,20.0
-79,19.0
-78,9.0
-77,22.0
-76,24.0
-75,24.0
-74,22.0
-73,24.0
-72,25.0
-71,26.0
-70,41.0
-69,27.0
-68,28.0
-67,46.0
-66,43.0
-65,41.0
-64,45.0
-63,39.0
-62,38.0
-61,36.0
-60,49.0
-59,55.0
-58,47.0
-57,55.0
-56,76.0
-55,71.0
-54,60.0
-53,75.0
-52,66.0
-51,72.0
-50,65.0
-49,79.0
-48,77.0
-47,75.0
-46,79.0
-45,92.0
-44,78.0
-43,77.0
-42,94.0
-41,67.0
-40,60.0
-39,89.0
-38,89.0
-37,82.0
-36,91.0
-35,97.0
-34,72.0
-33,100.0
-32,101.0
-31,87.0
-30,81.0
-29,83.0
-28,78.0
-27,95.0
-26,107.0
-25,92.0
-24,106.0
-23,94.0
-22,106.0
-21,112.0
-20,89.0
-19,83.0
-18,86.0
-17,99.0
-16,90.0
-15,105.0
-14,86.0
-13,112.0
-12,100.0
-11,95.0
-10,100.0
-9,98.0
-8,86.0
-7,94.0
-6,93.0
-5,89.0
-4,88.0
-3,109.0
-2,101.0
-1,98.0
0,93.0
1,76.0
2,89.0
3,110.0
4,79.0
5,88.0
6,113.0
7,86.0
8,85.0
9,104.0
10,88.0
11,89.0
12,94.0
13,84.0
14,77.0
15,106.0
16,85.0
17,82.0
18,74.0
19,71.0
20,91.0
21,104.0
22,87.0
23,67.0
24,88.0
25,87.0
26,72.0
27,74.0
28,67.0
29,72.0
30,84.0
31,57.0
32,67.0
33,73.0
34,74.0
35,66.0
36,70.0
37,67.0
38,46.0
39,48.0
40,38.0
41,49.0
42,39.0
43,33.0
44,44.0
45,44.0
46,34.0
47,41.0
48,31.0
49,30.0
50,30.0
51,32.0
52,25.0
53,23.0
54,23.0
55,24.0
56,30.0
57,26.0
58,18.0
59,10.0
60,17.0
61,15.0
62,14.0
63,14.0
64,14.0
65,10.0
66,7.0
67,5.0
68,12.0
69,13.0
70,11.0
71,5.0
72,2.0
73,3.0
74,10.0
75,9.0
76,7.0
77,0.0
78,5.0
79,5.0
80,5.0
81,3.0
82,3.0
83,3.0
84,3.0
85,2.0
86,0.0
87,2.0
88,2.0
89,3.0
90,2.0
91,1.0
92,1.0
93,1.0
94,2.0
95,1.0
96,2.0
97,0.0
98,1.0
99,0.0
100,0.0
