difference,first_phase
-100,3.0
-99,0.0
-98,1.0
-97,1.0
-96,2.0
-95,2.0
-94,2.0
-93,1.0
-92,1.0
-91,2.0
-90,4.0
-89,2.0
-88,1.0
-87,1.0
-86,3.0
-85,4.0
-84,5.0
-83,6.0
-82,7.0
-81,1.0
-80,2.0
-79,4.0
-78,2.0
-77,7.0
-76,6.0
-75,2.0
-74,4.0
-73,5.0
-72,8.0
-71,2.0
-70,6.0
-69,13.0
-68,11.0
-67,8.0
-66,5.0
-65,7.0
-64,15.0
-63,11.0
-62,8.0
-61,13.0
-60,12.0
-59,17.0
-58,26.0
-57,21.0
-56,21.0
-55,18.0
-54,28.0
-53,17.0
-52,27.0
-51,23.0
-50,30.0
-49,27.0
-48,25.0
-47,36.0
-46,35.0
-45,26.0
-44,48.0
-43,33.0
-42,54.0
-41,33.0
-40,42.0
-39,41.0
-38,53.0
-37,48.0
-36,44.0
-35,69.0
-34,62.0
-33,56.0
-32,49.0
-31,72.0
-30,82.0
-29,68.0
-28,74.0
-27,78.0
-26,72.0
-25,44.0
-24,66.0
-23,66.0
-22,73.0
-21,70.0
-20,76.0
-19,94.0
-18,78.0
-17,88.0
-16,68.0
-15,80.0
-14,96.0
-13,103.0
-12,82.0
-11,103.0
-10,84.0
-9,106.0
-8,97.0
-7,98.0
-6,85.0
-5,86.0
-4,83.0
-3,90.0
-2,94.0
-1,88.0
0,94.0
1,92.0
2,80.0
3,93.0
4,93.0
5,95.0
6,95.0
7,83.0
8,100.0
9,98.0
10,109.0
11,95.0
12,100.0
13,95.0
14,98.0
15,103.0
16,81.0
17,99.0
18,97.0
19,99.0
20,99.0
21,95.0
22,89.0
23,106.0
24,80.0
25,78.0
26,78.0
27,90.0
28,98.0
29,100.0
30,99.0
31,111.0
32,103.0
33,91.0
34,96.0
35,81.0
36,81.0
37,89.0
38,88.0
39,89.0
40,87.0
41,81.0
42,69.0
43,74.0
44,72.0
45,88.0
46,75.0
47,70.0
48,79.0
49,74.0
50,66.0
51,60.0
52,82.0
53,64.0
54,60.0
55,60.0
56,51.0
57,54.0
58,55.0
59,51.0
60,66.0
61,61.0
62,59.0
63,50.0
64,51.0
65,36.0
66,40.0
67,42.0
68,51.0
69,53.0
70,37.0
71,33.0
72,39.0
73,27.0
74,35.0
75,29.0
76,35.0
77,27.0
78,31.0
79,18.0
80,14.0
81,15.0
82,16.0
83,16.0
84,15.0
85,15.0
86,14.0
87,10.0
88,11.0
89,15.0
90,10.0
91,15.0
92,7.0
93,10.0
94,4.0
95,10.0
96,6.0
97,2.0
98,7.0
99,7.0
100,5.0
