iter,accuracy
0,0.0
50,0.0
100,0.0
150,0.004
200,0.008333333333333333
250,0.009666666666666667
300,0.026333333333333334
350,0.08133333333333333
400,0.050333333333333334
450,0.04
500,0.044333333333333336
550,0.077
600,0.16633333333333333
650,0.07033333333333333
700,0.057666666666666665
750,0.11166666666666666
800,0.11933333333333333
850,0.145
900,0.127
950,0.13866666666666666
1000,0.27266666666666667
1050,0.20933333333333334
1100,0.31933333333333336
1150,0.13633333333333333
1200,0.25566666666666665
1250,0.38033333333333336
1300,0.24333333333333335
1350,0.20833333333333334
1400,0.32
1450,0.20466666666666666
1500,0.363
1550,0.47633333333333333
1600,0.39366666666666666
1650,0.279
1700,0.4523333333333333
1750,0.36666666666666664
1800,0.515
1850,0.462
1900,0.4726666666666667
1950,0.593
2000,0.357
2050,0.5556666666666666
2100,0.7
2150,0.5496666666666666
2200,0.496
2250,0.5706666666666667
2300,0.453
2350,0.46366666666666667
2400,0.54
2450,0.525
2500,0.5933333333333334
2550,0.6576666666666666
2600,0.6046666666666667
2650,0.609
2700,0.5466666666666666
2750,0.5933333333333334
2800,0.7596666666666667
2850,0.659
