row_index,operands,actual,pred_col,iter,pred,A1,A2,P1,P2,error_type
0,"1000,1022,1221,9999","1000,1022,1221,9999",pred_iter_5000,5000,"1000,1221,1222,9999",1022,1221,1221,1222,other_error
1,"1000,1059,1458,9999","1000,1059,1458,9999",pred_iter_5000,5000,"1000,1458,1889,9999",1059,1458,1458,1889,other_error
2,"1000,1078,1977,9999","1000,1078,1977,9999",pred_iter_5000,5000,"1000,1078,9977,9999",1078,1977,1078,9977,other_error
3,"1000,1082,1580,9999","1000,1082,1580,9999",pred_iter_5000,5000,"1000,1580,9999,1582",1082,1580,1580,9999,other_error
4,"1000,1088,1583,9999","1000,1088,1583,9999",pred_iter_5000,5000,"1000,1583,1839,9999",1088,1583,1583,1839,other_error
5,"1000,1089,1287,9999","1000,1089,1287,9999",pred_iter_5000,5000,"1000,1287,1089,9999",1089,1287,1287,1089,other_error
6,"1000,1089,1488,9999","1000,1089,1488,9999",pred_iter_5000,5000,"1000,1488,1789,9999",1089,1488,1488,1789,other_error
7,"1000,1097,1796,9999","1000,1097,1796,9999",pred_iter_5000,5000,"1000,1796,1799,9996",1097,1796,1796,1799,other_error
8,"1000,1099,1594,9999","1000,1099,1594,9999",pred_iter_5000,5000,"1000,1594,1799,9999",1099,1594,1594,1799,other_error
9,"1000,1121,1920,9999","1000,1121,1920,9999",pred_iter_5000,5000,"1000,1121,1120,9999",1121,1920,1121,1120,other_error
12,"1000,1198,1991,9999","1000,1198,1991,9999",pred_iter_5000,5000,"1000,1198,1399,9991",1198,1991,1198,1399,other_error
13,"1000,1209,1708,9999","1000,1209,1708,9999",pred_iter_5000,5000,"1000,1209,9708,1999",1209,1708,1209,9708,other_error
15,"1000,1271,1970,9999","1000,1271,1970,9999",pred_iter_5000,5000,"1000,1271,9970,1999",1271,1970,1271,9970,other_error
20,"1000,1318,1119,9999","1000,1318,1119,9999",pred_iter_5000,5000,"1000,1118,1319,9999",1318,1119,1118,1319,other_error
21,"1000,1348,1547,9999","1000,1348,1547,9999",pred_iter_5000,5000,"1000,1348,9547,1999",1348,1547,1348,9547,other_error
22,"1000,1356,1952,9999","1000,1356,1952,9999",pred_iter_5000,5000,"1000,1356,1356,9999",1356,1952,1356,1356,other_error
23,"1000,1360,1062,9999","1000,1360,1062,9999",pred_iter_5000,5000,"1000,1360,9999,1362",1360,1062,1360,9999,other_error
24,"1000,1365,1563,9999","1000,1365,1563,9999",pred_iter_5000,5000,"1000,1365,9563,1999",1365,1563,1365,9563,other_error
25,"1000,1367,1268,9999","1000,1367,1268,9999",pred_iter_5000,5000,"1000,1267,1368,9999",1367,1268,1267,1368,other_error
30,"1000,1394,1298,9999","1000,1394,1298,9999",pred_iter_5000,5000,"1000,1298,1394,9999",1394,1298,1298,1394,other_error
35,"1000,1421,1025,9999","1000,1421,1025,9999",pred_iter_5000,5000,"1000,1421,1000,9999",1421,1025,1421,1000,other_error
36,"1000,1453,1159,9999","1000,1453,1159,9999",pred_iter_5000,5000,"1000,1159,1453,9999",1453,1159,1159,1453,other_error
38,"1000,1459,1956,9999","1000,1459,1956,9999",pred_iter_5000,5000,"1000,1459,1699,9999",1459,1956,1459,1699,other_error
42,"1000,1533,1832,9999","1000,1533,1832,9999",pred_iter_5000,5000,"1000,1533,9832,1999",1533,1832,1533,9832,other_error
43,"1000,1558,1459,9999","1000,1558,1459,9999",pred_iter_5000,5000,"1000,1458,1559,9999",1558,1459,1458,1559,other_error
44,"1000,1562,1469,9999","1000,1562,1469,9999",pred_iter_5000,5000,"1000,1462,1569,9999",1562,1469,1462,1569,other_error
46,"1000,1571,1870,9999","1000,1571,1870,9999",pred_iter_5000,5000,"1000,1571,9870,1999",1571,1870,1571,9870,other_error
48,"1000,1588,1289,9999","1000,1588,1289,9999",pred_iter_5000,5000,"1000,1288,1589,9999",1588,1289,1288,1589,other_error
49,"1000,1597,1299,9999","1000,1597,1299,9999",pred_iter_5000,5000,"1000,1299,1597,9999",1597,1299,1299,1597,other_error
51,"1000,1600,1306,9999","1000,1600,1306,9999",pred_iter_5000,5000,"1000,1306,1606,9999",1600,1306,1306,1606,other_error
52,"1000,1619,1915,9999","1000,1619,1915,9999",pred_iter_5000,5000,"1000,1619,1899,9999",1619,1915,1619,1899,other_error
53,"1000,1631,1437,9999","1000,1631,1437,9999",pred_iter_5000,5000,"1000,1437,1631,9999",1631,1437,1437,1631,other_error
54,"1000,1635,1236,9999","1000,1635,1236,9999",pred_iter_5000,5000,"1000,1236,1635,9999",1635,1236,1236,1635,other_error
55,"1000,1636,1934,9999","1000,1636,1934,9999",pred_iter_5000,5000,"1000,1636,1636,9999",1636,1934,1636,1636,other_error
57,"1000,1643,1447,9999","1000,1643,1447,9999",pred_iter_5000,5000,"1000,1447,1643,9999",1643,1447,1447,1643,other_error
58,"1000,1652,1559,9999","1000,1652,1559,9999",pred_iter_5000,5000,"1000,1559,1652,9999",1652,1559,1559,1652,other_error
59,"1000,1656,1457,9999","1000,1656,1457,9999",pred_iter_5000,5000,"1000,1457,1656,9999",1656,1457,1457,1656,other_error
61,"1000,1689,1986,9999","1000,1689,1986,9999",pred_iter_5000,5000,"1000,1689,9999,1686",1689,1986,1689,9999,other_error
