row_index,operands,actual,pred_col,iter,pred,A1,A2,P1,P2,error_type
973,"1000,9899,9998,9999","1000,9899,9998,9999",pred_iter_100,100,"9099,9899,9999,9799",9899,9998,9899,9999,repeat_last_digit
144,"1000,2359,2750,9999","1000,2359,2750,9999",pred_iter_150,150,"2050,2359,2759,9750",2359,2750,2359,2759,repeat_last_digit
26,"1000,1399,1991,9999","1000,1399,1991,9999",pred_iter_200,200,"1000,1399,1999,9999",1399,1991,1399,1999,repeat_last_digit
64,"1000,1652,1750,9999","1000,1652,1750,9999",pred_iter_200,200,"1000,1652,1752,9999",1652,1750,1652,1752,repeat_last_digit
69,"1000,1706,1408,9999","1000,1408,1706,9999",pred_iter_200,200,"1000,1408,1708,9999",1408,1706,1408,1708,repeat_last_digit
85,"1000,1799,1996,9999","1000,1799,1996,9999",pred_iter_200,200,"1000,1799,1999,9999",1799,1996,1799,1999,repeat_last_digit
86,"1000,1813,1516,9999","1000,1516,1813,9999",pred_iter_200,200,"1000,1516,1816,9999",1516,1813,1516,1816,repeat_last_digit
93,"1000,1850,1654,9999","1000,1654,1850,9999",pred_iter_200,200,"1054,1650,1850,9999",1654,1850,1650,1850,repeat_last_digit
96,"1000,1874,1779,9999","1000,1779,1874,9999",pred_iter_200,200,"1093,1779,1879,9999",1779,1874,1779,1879,repeat_last_digit
98,"1000,1882,1484,9999","1000,1484,1882,9999",pred_iter_200,200,"1000,1484,1884,9999",1484,1882,1484,1884,repeat_last_digit
106,"1000,1948,1449,9999","1000,1449,1948,9999",pred_iter_200,200,"1000,1449,1949,9999",1449,1948,1449,1949,repeat_last_digit
107,"1000,1954,1756,9999","1000,1756,1954,9999",pred_iter_200,200,"1009,1754,1954,9999",1756,1954,1754,1954,repeat_last_digit
111,"1000,1977,1879,9999","1000,1879,1977,9999",pred_iter_200,200,"1000,1879,1979,9999",1879,1977,1879,1979,repeat_last_digit
151,"1000,2393,2491,9999","1000,2393,2491,9999",pred_iter_200,200,"2000,2393,2493,9999",2393,2491,2393,2493,repeat_last_digit
161,"1000,2477,2179,9999","1000,2179,2477,9999",pred_iter_200,200,"1000,2179,2479,9997",2179,2477,2179,2479,repeat_last_digit
219,"1000,2918,2419,9999","1000,2419,2918,9999",pred_iter_200,200,"1000,2419,2919,9999",2419,2918,2419,2919,repeat_last_digit
224,"1000,2958,2859,9999","1000,2859,2958,9999",pred_iter_200,200,"1058,2859,2959,9999",2859,2958,2859,2959,repeat_last_digit
235,"1000,3102,3009,9999","1000,3009,3102,9999",pred_iter_200,200,"1002,3009,3109,9099",3009,3102,3009,3109,repeat_last_digit
238,"1000,3135,3038,9999","1000,3038,3135,9999",pred_iter_200,200,"1000,3035,3135,9999",3038,3135,3035,3135,repeat_last_digit
253,"1000,3267,3865,9999","1000,3267,3865,9999",pred_iter_200,200,"1000,3265,3865,9999",3267,3865,3265,3865,repeat_last_digit
277,"1000,3499,3796,9999","1000,3499,3796,9999",pred_iter_200,200,"1000,3499,3799,9999",3499,3796,3499,3799,repeat_last_digit
302,"1000,3699,3996,9999","1000,3699,3996,9999",pred_iter_200,200,"1000,3699,3999,9999",3699,3996,3699,3999,repeat_last_digit
335,"1000,3918,3419,9999","1000,3419,3918,9999",pred_iter_200,200,"3008,3419,3919,9999",3419,3918,3419,3919,repeat_last_digit
343,"1000,3957,3859,9999","1000,3859,3957,9999",pred_iter_200,200,"1000,3859,3959,9999",3859,3957,3859,3959,repeat_last_digit
384,"1000,4391,4299,9999","1000,4299,4391,9999",pred_iter_200,200,"1000,4299,4399,9991",4299,4391,4299,4399,repeat_last_digit
393,"1000,4479,4576,9999","1000,4479,4576,9999",pred_iter_200,200,"1000,4479,4579,9999",4479,4576,4479,4579,repeat_last_digit
404,"1000,4625,4326,9999","1000,4326,4625,9999",pred_iter_200,200,"1000,4325,4625,9999",4326,4625,4325,4625,repeat_last_digit
415,"1000,4713,4215,9999","1000,4215,4713,9999",pred_iter_200,200,"1000,4215,4715,9999",4215,4713,4215,4715,repeat_last_digit
437,"1000,4826,4729,9999","1000,4729,4826,9999",pred_iter_200,200,"1099,4726,4826,9999",4729,4826,4726,4826,repeat_last_digit
