operands,actual,model's output
"1033,7739,1991,1130","1033,1130,1991,7739","1030,1133,1991,7739"
"1133,2101,1531,3606","1133,1531,2101,3606","1101,1533,2106,3606"
"1274,1371,8127,3418","1274,1371,3418,8127","1271,1374,3418,8127"
"1278,2981,6955,2689","1278,2689,2981,6955","1278,2681,2989,6955"
"1342,3824,7253,3921","1342,3824,3921,7253","1342,3821,3924,7253"
"1369,1966,5277,2165","1369,1966,2165,5277","1369,1965,2169,5277"
"1407,3306,1701,1791","1407,1701,1791,3306","1407,1706,1791,3301"
"1466,2884,5744,1560","1466,1560,2884,5744","1460,1566,2884,5744"
"1503,7913,1005,9510","1005,1503,7913,9510","1005,1503,7910,9513"
"1513,8558,9159,9650","1513,8558,9159,9650","1513,8559,9158,9650"
"1717,9017,2432,9712","1717,2432,9017,9712","1717,2432,9012,9712"
"1734,7555,1165,1535","1165,1535,1734,7555","1165,1534,1735,7555"
"1748,7250,8945,7152","1748,7152,7250,8945","1748,7150,7252,8945"
"1756,6915,9494,9790","1756,6915,9494,9790","1756,6915,9490,9794"
"1760,1469,7839,1471","1469,1471,1760,7839","1460,1471,1769,7839"
"1771,1784,5477,1474","1474,1771,1784,5477","1471,1774,1784,5477"
"1773,4629,4926,3812","1773,3812,4629,4926","1773,3812,4626,4929"
"1780,1085,1489,8443","1085,1489,1780,8443","1085,1480,1789,8443"
"1835,1895,6870,6578","1835,1895,6578,6870","1835,1870,6578,6878"
"1863,9672,7942,9970","1863,7942,9672,9970","1863,7942,9670,9972"
"1881,1086,3487,4543","1086,1881,3487,4543","1086,1887,3481,4543"
"1881,5112,1488,7799","1488,1881,5112,7799","1481,1888,5112,7799"
"1892,1833,2179,2271","1833,1892,2179,2271","1833,1871,2179,2279"
"1925,5349,5442,7358","1925,5349,5442,7358","1925,5342,5449,7358"
"1928,1710,7440,7245","1710,1928,7245,7440","1710,1928,7240,7445"
"2017,9801,4649,4940","2017,4649,4940,9801","2017,4640,4949,9801"
"2030,6158,8890,6255","2030,6158,6255,8890","2030,6155,6258,8890"
"2155,7245,7544,7861","2155,7245,7544,7861","2155,7244,7545,7861"
"2169,8227,3941,8526","2169,3941,8227,8526","2169,3941,8226,8527"
"2221,2028,7349,1758","1758,2028,2221,7349","1758,2021,2228,7349"
"2283,6324,6028,1391","1391,2283,6028,6324","1391,2283,6024,6328"
"2285,5792,2592,5991","2285,2592,5792,5991","2285,2592,5791,5992"
